,port,state,value,year
611,Trout River,New York,579676,2014
612,Champlain-Rouses Point,New York,4748167,2014
613,Massena,New York,2654947,2014
614,Buffalo-Niagara Falls,New York,20026091,2014
615,Alexandria Bay,New York,2528781,2014
616,Ogdensburg,New York,1171359,2014
617,Cape Vincent,New York,17225,2014
618,Pembina,North Dakota,1770683,2014
619,Portal,North Dakota,807521,2014
620,Neche,North Dakota,151044,2014
621,Sarles,North Dakota,12990,2014
622,Hansboro,North Dakota,25815,2014
623,Walhalla,North Dakota,167592,2014
624,Antler,North Dakota,30843,2014
625,Noonan,North Dakota,108758,2014
626,Westhope,North Dakota,44259,2014
627,Fortuna,North Dakota,41386,2014
628,Northgate,North Dakota,88615,2014
629,Sherwood,North Dakota,87899,2014
630,Ambrose,North Dakota,4335,2014
631,Dunseith,North Dakota,279528,2014
632,Carbury,North Dakota,47571,2014
