port,port_name,state,value,year
San Ysidro,San Ysidro,California,47629073,2015
Tecate,Tecate,California,3399496,2015
Calexico,Calexico,California,16436626,2015
Andrade,Andrade,California,2377624,2015
Cross Border Xpress,Cross Border Xpress,California,0,2015
Van Buren,Van Buren,Maine,498464,2015
Madawaska,Madawaska,Maine,1123721,2015
Vanceboro,Vanceboro,Maine,95198,2015
Calais,Calais,Maine,2155200,2015
Houlton,Houlton,Maine,915339,2015
Fort Fairfield,Fort Fairfield,Maine,327859,2015
Bridgewater,Bridgewater,Maine,160220,2015
Fort Kent,Fort Kent,Maine,395522,2015
Jackman,Jackman,Maine,603795,2015
Limestone,Limestone,Maine,61312,2015
Eastport,Eastport,Maine,369522,2015
Portland,Portland,Maine,24988,2015
Bar Harbor,Bar Harbor,Maine,0,2015
Nogales,Nogales,Arizona,14700517,2015
Naco,Naco,Arizona,895440,2015
Sasabe,Sasabe,Arizona,57236,2015
Douglas,Douglas,Arizona,5595491,2015
Lukeville,Lukeville,Arizona,1147097,2015
San Luis,San Luis,Arizona,11100382,2015
Trout River,Trout River,New York,521770,2015
Champlain-Rouses Point,Champlain-Rouses Point,New York,4366943,2015
Massena,Massena,New York,2400315,2015
Buffalo-Niagara Falls,Buffalo-Niagara Falls,New York,18198877,2015
Alexandria Bay,Alexandria Bay,New York,2361673,2015
Ogdensburg,Ogdensburg,New York,953362,2015
Cape Vincent,Cape Vincent,New York,21685,2015
Pembina,Pembina,North Dakota,1555965,2015
Portal,Portal,North Dakota,742167,2015
Neche,Neche,North Dakota,119606,2015
Sarles,Sarles,North Dakota,14004,2015
Hansboro,Hansboro,North Dakota,20945,2015
Walhalla,Walhalla,North Dakota,140323,2015
Antler,Antler,North Dakota,24501,2015
Noonan,Noonan,North Dakota,92939,2015
Westhope,Westhope,North Dakota,40202,2015
Fortuna,Fortuna,North Dakota,45182,2015
Northgate,Northgate,North Dakota,74062,2015
Sherwood,Sherwood,North Dakota,66637,2015
Ambrose,Ambrose,North Dakota,3039,2015
Dunseith,Dunseith,North Dakota,238356,2015
Carbury,Carbury,North Dakota,35813,2015
Maida,Maida,North Dakota,28466,2015
St. John,St. John,North Dakota,39443,2015
Hannah,Hannah,North Dakota,3406,2015
Progreso,Progreso,Texas,4266971,2015
Roma,Roma,Texas,2443096,2015
Boquillas,Boquillas,Texas,7007,2015
Rio Grande City,Rio Grande City,Texas,1270358,2015
Del Rio,Del Rio,Texas,4716036,2015
Eagle Pass,Eagle Pass,Texas,9545733,2015
Tornillo-Fabens,Tornillo-Fabens,Texas,862308,2015
El Paso,El Paso,Texas,41002269,2015
Hidalgo,Hidalgo,Texas,17765133,2015
Brownsville,Brownsville,Texas,15777337,2015
Presidio,Presidio,Texas,2140007,2015
Laredo,Laredo,Texas,25173596,2015
Opheim,Opheim,Montana,10905,2015
Wildhorse,Wildhorse,Montana,45495,2015
Scobey,Scobey,Montana,18769,2015
Raymond,Raymond,Montana,105957,2015
Del Bonita,Del Bonita,Montana,88242,2015
Turner,Turner,Montana,32354,2015
Sweetgrass,Sweetgrass,Montana,1018802,2015
Piegan,Piegan,Montana,343560,2015
Whitlash,Whitlash,Montana,2957,2015
Morgan,Morgan,Montana,19844,2015
Willow Creek,Willow Creek,Montana,10125,2015
Roosville,Roosville,Montana,556895,2015
Whitetail,Whitetail,Montana,0,2015
Lancaster,Lancaster,Minnesota,102176,2015
Roseau,Roseau,Minnesota,129126,2015
Baudette,Baudette,Minnesota,479769,2015
Grand Portage,Grand Portage,Minnesota,785863,2015
Pinecreek,Pinecreek,Minnesota,15941,2015
Warroad,Warroad,Minnesota,347455,2015
International Falls-Ranier,International Falls-Ranier,Minnesota,1927109,2015
Noyes,Noyes,Minnesota,0,2015
Derby Line,Derby Line,Vermont,1888865,2015
Beecher Falls,Beecher Falls,Vermont,208905,2015
Norton,Norton,Vermont,146497,2015
Highgate Springs-Alburg,Highgate Springs-Alburg,Vermont,2068806,2015
Richford,Richford,Vermont,329060,2015
Lynden,Lynden,Washington,1655448,2015
Oroville,Oroville,Washington,771944,2015
Ferry,Ferry,Washington,24510,2015
Metaline Falls,Metaline Falls,Washington,103573,2015
Blaine,Blaine,Washington,13617574,2015
Frontier,Frontier,Washington,173460,2015
Laurier,Laurier,Washington,159060,2015
Boundary,Boundary,Washington,110606,2015
Sumas,Sumas,Washington,2878987,2015
Port Angeles,Port Angeles,Washington,199531,2015
Danville,Danville,Washington,104803,2015
Nighthawk,Nighthawk,Washington,19298,2015
Point Roberts,Point Roberts,Washington,2454897,2015
Anacortes,Anacortes,Washington,104364,2015
Friday Harbor,Friday Harbor,Washington,9626,2015
Eastport,Eastport,Idaho,554588,2015
Porthill,Porthill,Idaho,397173,2015
Sault Sainte Marie,Sault Sainte Marie,Michigan,2337967,2015
